Date,Processor,Site name,Latitude,Longitude,PixelX,PixelY,In situ Chl-a,In situ SPM,reflec_1_mean,reflec_2_mean,reflec_3_mean,reflec_4_mean,reflec_5_mean,reflec_6_mean,reflec_7_mean,reflec_8_mean,reflec_9_mean,reflec_10_mean,reflec_12_mean,reflec_13_mean,a_ys_443_mean,a_pig_443_mean,a_total_443_mean,bb_spm_443_mean,tsm_mean,chl_conc_mean,chiSquare_mean,K_min_mean,Z90_max_mean,Kd_490_mean,turbidity_index_mean,Number of pixels
20090608,C2R,KdKVI_Siofok,46.94494233,18.00562367,447.5,469.5,3.70,na,0.006216235,0.00929578,0.018053919,0.023151644,0.032644615,0.023855542,0.017778137,0.016795019,0.011383348,0.003780306,0.003125103,0.00167735,0.922198508,0.166468615,1.088667088,0.219503846,18.98708132,3.253844102,0.6102112,0.715005173,-1.39994918,0.96654184,25.95218701,9
20090706,C2R,KdKVI_Siofok,46.94494233,18.00562367,447.5,469.5,3.30,na,0.006152845,0.008755203,0.01630526,0.020031321,0.027419426,0.017958223,0.012643749,0.011917744,0.007408307,0.002349443,0.001954627,0.001055844,0.682577398,0.130804315,0.813381698,0.138887223,12.01374478,2.5324058,0.360106107,0.549844093,-1.818249888,0.690742751,15.97400135,9
20090817,C2R,KdKVI_Siofok,46.94494233,18.00562367,447.5,469.5,4.10,na,0.005043446,0.006618365,0.012006325,0.014339577,0.01935476,0.010953741,0.007247489,0.006812648,0.004133855,0.001300901,0.001072877,0.00057217,0.4776902,0.161675274,0.639365481,0.096938867,8.385212262,3.156496604,0.147492669,0.449494017,-2.226016601,0.535017742,8.128617499,9
20100628,C2R,KdKVI_Siofok,46.94494233,18.00562367,447.5,469.5,5.20,na,0.005993903,0.0087517,0.016792774,0.021310352,0.030093199,0.021277632,0.015511052,0.014635172,0.009676446,0.003165711,0.002619197,0.001406831,0.844952186,0.16347783,1.008430017,0.190189073,16.45135477,3.193845828,0.586891204,0.658815887,-1.525529292,0.878809598,21.19156414,9
20100802,C2R,KdKVI_Siofok,46.94494233,18.00562367,447.5,469.5,7.00,na,0.00542197,0.007329348,0.013335362,0.016046731,0.021719435,0.01298807,0.00877317,0.008257671,0.005007361,0.001574657,0.001304811,0.000701594,0.553169396,0.141417558,0.694586959,0.113732054,9.837822278,2.746199316,0.217574538,0.492999918,-2.031234609,0.588657167,10.08583397,9
20120319,C2R,KdKVI_Siofok,46.94494233,18.00562367,447.5,469.5,7.40,na,0.008199799,0.012980051,0.023103685,0.027992157,0.037209408,0.029807016,0.023624816,0.022329994,0.017565888,0.006373588,0.00525751,0.002825677,1.096372247,0.209023583,1.305395815,0.345200343,29.85983001,4.123210192,0.166883874,0.973922782,-1.028185235,1.267644789,42.36205334,9
20080901,C2R,KdKVI_Szemes,46.850559,17.77640967,345.5,511.5,21.50,na,0.005069327,0.006831455,0.012024007,0.015074128,0.022786677,0.017817202,0.012679242,0.011794793,0.009650561,0.00331459,0.002715115,0.001432319,0.906637152,0.465372655,1.372009807,0.199923625,17.2933943,9.478498141,0.262001793,0.799135427,-1.252255466,1.129465938,15.7800898,9
20090330,C2R,KdKVI_Szemes,46.850559,17.77640967,345.5,511.5,11.50,na,0.00380051,0.006327605,0.014586766,0.021076808,0.033568089,0.026530829,0.020017861,0.018775054,0.013992672,0.004778405,0.003965294,0.002097668,1.497697751,0.26811782,1.765815629,0.276521067,23.9190731,5.343516774,1.017351005,1.046625197,-0.962818835,1.438569691,32.30828222,9
20090504,C2R,KdKVI_Szemes,46.8612957,17.80162807,356.7,506.7,5.18,na,0.006261757,0.009162277,0.017272294,0.021595937,0.029946567,0.020977824,0.015247567,0.01438524,0.009500556,0.003100638,0.002567199,0.00138013,0.8052653,0.157056295,0.962321599,0.189312617,16.37554082,3.063552559,0.465933871,0.647495538,-1.550738586,0.850903139,20.70786123,9
20090608,C2R,KdKVI_Szemes,46.850559,17.77640967,345.5,511.5,4.80,na,0.006831078,0.010183181,0.019042709,0.023688489,0.032254674,0.02307679,0.017090928,0.016151919,0.010749479,0.00353844,0.00293691,0.001585298,0.826597856,0.146446733,0.973044588,0.209878792,18.15451601,2.847904073,0.479198959,0.67062013,-1.49160499,0.884747393,24.39473364,9
20090706,C2R,KdKVI_Szemes,46.850559,17.77640967,345.5,511.5,2.60,na,0.006027937,0.008788607,0.016839752,0.021500854,0.030704636,0.022124993,0.016186414,0.015250163,0.010394264,0.003428463,0.002831141,0.001516793,0.862650057,0.192279976,1.054930051,0.182426413,15.77988466,3.780073881,0.513609416,0.664507197,-1.506777989,0.896823022,22.56190427,9
20090817,C2R,KdKVI_Szemes,46.850559,17.77640967,345.5,511.5,16.30,na,0.004632735,0.005758604,0.009994261,0.01190724,0.016569178,0.010076849,0.006651512,0.006208988,0.004387413,0.001434219,0.001168683,0.000612494,0.467585554,0.322711319,0.790296866,0.10320148,8.926927884,6.477138784,0.091927751,0.533572959,-1.876064274,0.645053605,7.348262681,9
20100628,C2R,KdKVI_Szemes,46.850559,17.77640967,345.5,511.5,9.60,na,0.00741684,0.011453117,0.02145537,0.026682483,0.035847556,0.026876413,0.020621319,0.019520338,0.013720568,0.004680311,0.003872691,0.00208592,0.935473098,0.153999822,1.089472916,0.268332074,23.21072536,3.000810888,0.359607057,0.768916322,-1.301477194,1.032482677,33.16146596,9
